"","E003","E004","E005","E006","E007","E011","E012","E013","E016","E024","E050","E053","E054","E058","E065","E066","E070","E071","E079","E084","E085","E094","E095","E096","E097","E098","E100","E104","E105","E106","E109","E112","E113"
"ENSG00000134640",0.007,0,0.764,0,0.007,0.021,0,0,0.047,0.132,0,0.366,0.079,0,0,0,0.014,0.03,0,0.175,0.004,0,0,0,0.022,0.028,0,0,0,0,0,0.076,0
"ENSG00000134644",37.578,43.448,44.171,25.803,55.171,42.181,50.063,32.314,38.254,45.321,27.466,39.981,42.722,33.849,14.5,12.341,44.722,29.424,19.267,34.951,36.249,15.655,18.346,23.8,31.169,17.224,23.269,17.913,14.931,20.246,20.039,29.92,19.94
"ENSG00000134668",0.437,0.138,0.269,5.757,0.385,0.282,0.639,1.569,0.232,0.545,0.005,1.865,0.551,0.641,0.583,0.017,0.022,0.303,0.812,0.281,0.406,2.763,0.085,4.587,0.105,0.076,0.11,0.023,0.064,0.184,0.361,0.153,0.647
"ENSG00000134684",29.171,58.686,18.78,27.91,12.788,23.775,17.358,29.634,36.751,24.247,24.597,13.78,11.477,32.587,7.316,9.644,6.156,11.999,11.084,10.021,7.658,19.304,14.794,24.23,8.238,11.285,26.479,7.481,16.411,18.955,30.351,12.697,10.287
"ENSG00000134686",1.397,1.899,19.687,46.512,57.801,40.945,44.625,48.968,16.773,3.396,20.543,40.303,47.716,48.289,46.194,32.433,37.678,29.304,39.19,16.429,13.172,91.53,41.859,59.755,42.23,38.305,81.131,41.298,46.408,36.533,45.867,38.334,54.395
"ENSG00000134690",25.588,44.903,26.525,4.124,64.688,45.717,32.48,30.672,35.746,25.197,2.488,15.721,13.347,29.474,1.185,0.565,21.747,0.869,3.228,6.631,6.929,4.21,0.373,2.115,0.926,0.859,0.542,0.38,0.435,17.831,23.337,5.659,4.378
"ENSG00000134697",23.616,37.066,22.671,20.564,20.761,19.818,15.175,17.116,29.058,19.53,16.091,8.129,9.567,20.549,11.552,8.27,7.586,7.349,16.219,12.971,11.718,17.103,13.661,31.111,8.739,15.855,20.775,10.348,17.827,10.14,10.905,14.718,11.252
"ENSG00000134698",2.949,4.028,8.592,4.48,12.596,9.075,11.446,10.368,4.897,3.864,29.131,7.166,7.494,4.656,8.424,4.089,11.884,7.209,9.101,9.949,10.348,7.264,7.274,10.37,7.238,9.172,10.386,8.291,6.276,5.398,4.398,10.613,9.684
"ENSG00000134709",12.61,8.685,3.068,0,3.742,1.927,4.606,0.655,8.828,9.792,5.965,0.004,0.046,7.583,4.036,14.735,0.399,3.975,9.323,18.693,21.129,9.76,1.597,6.55,0.227,16.361,0.015,3.302,1.216,12.15,14.409,3.684,1.825
"ENSG00000134716",2.268,0.77,6.289,0.009,0.17,0.287,0.186,0.138,0.383,0.907,1.023,0.533,1.409,5.738,1.228,116.69,0.146,16.029,10.555,9.226,6.776,2.48,50.698,3.9,0.084,2.578,0.804,50.736,73.833,14.056,15.18,1.771,0.21
"ENSG00000134717",24.863,30.221,11.862,14.845,42.573,24.017,24.055,15.733,24.515,18.602,16.193,11.419,13.824,10.373,16.2,8.964,19.379,9.371,8.54,7.266,6.505,16.454,9.146,11.382,17.644,7.762,14.564,8.816,9.213,5.999,6.335,18.345,12.938
