"","E003","E004","E005","E006","E007","E011","E012","E013","E016","E024","E050","E053","E054","E058","E065","E066","E070","E071","E079","E084","E085","E094","E095","E096","E097","E098","E100","E104","E105","E106","E109","E112","E113"
"ENSG00000031823",33.279,39.561,24.051,22.353,38.288,29.117,33.385,20.614,30.178,36.875,17.005,34.894,34.304,29.428,18.957,10.935,38.15,23.159,30.275,20.005,19.714,32.199,23.917,29.191,29.006,36.768,21.176,29.897,27.395,22.968,24.267,30.115,36.526
"ENSG00000032219",6.597,3.778,5.264,8.136,12.085,6.543,6.934,6.675,4.307,4.562,18.762,5.621,7.196,3.41,10.267,11.244,12.286,41.892,6.554,8.87,9.791,5.307,5.198,8.84,9.006,7.056,4.912,6.802,5.21,4.962,4.273,13.181,8.877
"ENSG00000032389",3.892,4.201,3.066,4.108,6.947,6.522,6.269,4.882,6.676,4.729,7.323,7.36,8.137,8.118,3.952,3.875,12.094,6.907,3.156,4.223,3.521,6.611,5.212,4.177,2.766,3.117,7.04,3.706,5.871,6.934,8.263,6.011,8.441
"ENSG00000032444",29.678,7.359,18.527,17.857,16.053,20.639,37.874,28.746,27.223,50.109,18.093,27.412,24.229,26.72,12.345,10.991,15.533,32.09,28.211,15.133,14.887,18.122,25.89,67.53,20.145,48.137,31.288,19.444,21.79,37.77,38.9,27.387,54.443
"ENSG00000032742",1.666,1.457,2.362,2.948,5.078,4.299,4.861,3.715,2.326,1.539,7.847,3.059,3.688,2.783,2.313,4.354,4.379,6.314,2.574,6.35,6.132,3.055,3.028,5.954,6.515,4.217,2.353,2.662,3.212,4.028,5.132,8.036,4.062
"ENSG00000033011",41.645,24.773,9.094,24.315,6.551,11.211,12.996,9.661,22.038,30.908,8.769,16.099,16.869,17.584,4.687,11.762,4.767,9.031,11.439,16.453,21.312,16.43,11.301,21.696,14.003,21.466,11.227,8.315,11.962,27.579,34.158,18.073,22.226
"ENSG00000033030",5.931,6.506,16.783,2.628,5.89,6.995,7.115,5.255,6.173,6.189,12.764,3.064,4.284,5.936,4.209,3.497,7.22,4.339,7.047,7.277,6.69,3.525,2.533,8.663,6.717,7.911,5.269,3.571,4.278,4.732,5.813,12.79,8.172
"ENSG00000033050",15.136,23.795,15.193,16.179,13.047,20.765,25.057,18.47,30.532,21.043,16.234,22.171,19.463,42.861,13.426,7.301,7.978,16.062,14.861,9.884,8.533,19.495,32.659,15.656,13.44,13.425,56.996,15.414,27.952,20.446,20.047,16.556,19.135
"ENSG00000033100",14.662,7.184,18.2,59.306,7.983,14.648,13.602,20.678,9.758,11.698,36.703,20.489,19.772,19.175,9.884,6.743,3.486,6.192,16.075,15.428,16.819,16.072,18.881,32.484,18.97,47.925,14.571,14.526,19.559,22.669,17.025,27.334,29.13
"ENSG00000033122",0.017,0.005,0.003,0.179,0.04,0.424,0.566,0.067,0.186,0.011,0.14,0.032,1.576,0.034,0.07,0.093,10.92,3.162,0.152,0.805,0.275,0.087,0.063,0.004,0.013,1.105,0.133,1.576,0.122,0.06,0.105,0.067,0.025
"ENSG00000033170",5.164,4.958,25.356,9.901,19.491,15.371,18.664,11.26,11.134,6.948,4.596,10.65,27.032,3.638,1.765,1.402,11.93,11.315,3.43,12.668,19.567,19.307,2.309,5.458,7.415,5.515,2.095,2.333,2.974,5.081,19.732,7.049,7.277
"ENSG00000033178",10.599,12.922,13.255,8.373,13.535,16.178,15.541,20.507,14.712,9.637,16.398,9.158,9.671,26.704,6.967,4.448,10.205,6.447,9.188,12.796,11.585,3.848,3.715,9.47,4.531,7.81,4.292,3.39,4.207,6.23,6.486,16.871,10.635
"ENSG00000033327",3.288,2.89,58.002,5.577,11.855,15.173,15.395,13.073,3.955,2.511,32.417,12.046,15.3,0.745,36.269,2.895,25.555,79.918,8.932,6.342,5.154,18.428,11.633,20.96,35.316,5.005,2.485,6.778,7.129,8.696,12.93,3.686,7.267
"ENSG00000033627",32.434,10.04,32.772,20.621,15.039,21.534,22.087,15.194,17.116,41.849,16.942,52.305,51.018,23.023,8.806,14.563,74.696,78.473,17.014,47.106,53.006,9.991,20.491,38.136,22.471,26.905,38.949,18.782,21.096,24.817,32.619,23.95,41.68
"ENSG00000033800",17.023,19.738,20.158,17.943,48.87,30.09,28.938,25.538,20.061,21.097,13.826,11.376,15.199,24.236,12.016,5.891,36.548,6.076,16.097,15.904,18.162,13.192,8.651,7.598,18.489,4.83,9.82,7.307,5.79,9.149,8.052,10.7,10.197
"ENSG00000033867",26.319,14.115,5.105,3.161,19.543,13.963,11.701,21.108,15.323,15.27,8.209,4.531,5.296,13.955,5.413,1.53,4.938,14.376,4.679,9.926,5.624,1.615,4.006,2.975,3.705,1.661,1.951,2.764,2.828,3.513,12.641,4.803,4.538
"ENSG00000034053",4.18,3.481,0.711,9.804,15.702,15.822,21.923,7.601,8.129,5.071,0.877,9.542,22.86,2.032,1.035,0.274,26.916,21.922,1.203,1.132,0.557,0.522,0.086,1.119,1.188,5.994,0.034,0.213,0.119,4.346,1.738,8.967,4.369
"ENSG00000034063",18.025,27.305,9.063,6.75,34.534,48.718,34.535,10.5,27.927,16.872,6.32,23.708,16.124,22.105,0.912,0.122,11.376,0.887,4.874,7.113,7.396,4.137,0.33,3.925,0.648,0.938,0.247,0.132,0.275,5.853,7.442,3.388,2.958
"ENSG00000034152",10.679,19.824,10.974,12.399,5.919,9.325,5.855,11.134,12.029,10.293,21.503,9.523,6.518,23.302,16.096,34.584,2.855,7.654,22.39,18.08,18.019,32.726,58.879,35.657,6.897,19.369,74.609,21.039,54.815,29.242,28.304,18.549,34.724
"ENSG00000034239",0.013,0.005,0.031,0.059,1.107,0.32,0.417,0.529,0.172,0.011,0.006,0.163,0.372,0.546,0,0.276,0.308,4.803,0.386,0.113,0.136,0.234,0.008,4.564,2.746,0.341,0.007,0.018,0.047,0.042,0.052,0.817,0
"ENSG00000034510",615.245,1008.449,1368.48,2382.48,1134.3,1894.2,1101.84,2935.31,1061.46,629.859,672.797,758.096,462.993,2560.65,1458.42,907.277,3282.39,1764,1117.17,593.469,504.096,2577.61,429.032,3764.13,2151.72,891.128,144.197,419.073,992.018,1797.53,1758.28,2866.41,1697.91
"ENSG00000034533",2.514,3.646,1.756,2.55,3.28,3.423,4.832,2.941,4.493,1.725,6.738,3.071,3.584,2.354,1.741,3.43,2.232,2.411,2.961,10.224,13.751,2.445,1.924,2.328,4.467,2.159,1.873,1.84,2.22,3.55,3.42,6.55,3.533
"ENSG00000034677",2.423,20.615,9.594,6.92,5.735,8.054,6.647,11.754,5.206,2.749,29.611,12.738,13.334,8.478,20.354,16.04,14.229,11.03,13.428,33.792,34.099,12.531,12.287,12.755,20.695,15.653,13.519,12.516,12.725,16.794,12.209,42.031,21.541
"ENSG00000034693",6.76,10.987,5.55,5.514,5.082,5.693,5.876,5.217,7.345,5.68,10.901,4.395,5.512,17.079,5.886,14.515,3.319,4.373,8.871,7.885,9.322,7.678,5.945,6.132,9.575,3.555,6.863,8.752,4.931,4.475,6.434,11.564,6.649
"ENSG00000034713",46.13,54.415,62.981,76.63,90.844,76.863,54.683,101.256,62.38,34.834,80.421,95.776,147.128,43.624,251.494,134.641,189.84,256.94,105.449,74.433,72.854,206.204,147.594,77.953,143.108,59.215,133.81,216.732,144.343,92.701,104.931,181.894,157.74
"ENSG00000034971",0.003,0.005,0.002,0,0,0.019,0,0.014,0,0.013,0.145,0,0,0,7.516,0.013,0,0.054,13.282,0.374,0.03,0.273,1.522,0.349,0.618,0.604,1.039,7.75,3.398,0.403,1.883,1.254,0.076
"ENSG00000035115",3.891,1.446,5.145,2.934,2.185,2.606,3.103,2.177,2.343,3.212,7.236,2.524,3.636,4.695,5.616,2.185,4.248,5.618,9.238,12.44,14.147,33.805,1.249,12.297,5.656,27.448,1.017,2.299,2.51,8.137,10.24,11.231,5.317
"ENSG00000035141",38.199,67.68,13.996,12.444,28.01,21.852,33.261,11.25,45.006,39.333,34.582,11.004,11.604,24.253,19.475,19.171,11.233,9.343,15.701,27.371,27.708,34.193,16.783,26.045,10.022,50.225,25.195,9.953,16.738,26.06,32.503,24.849,27.055
"ENSG00000035403",311.481,222.101,84.537,187.796,75.642,71.346,103.49,118.227,129.518,200.626,34.1,56.139,45.943,59.258,48.802,11.811,7.903,6.447,119.06,43.77,19.746,23.408,279.359,36.273,53.197,16.965,84.224,88.484,230.662,42.181,35.979,19.031,17.774
"ENSG00000035499",22.159,34.983,36.306,0.832,43.223,19.081,25.692,11.544,30.749,27.273,4.095,5.17,5.589,15.249,1.07,0.198,7.897,0.325,1.137,6.356,10.564,1.883,0.042,0.456,0.273,0.122,0.038,0.033,0.057,5.111,12.546,3.288,1.124
"ENSG00000035664",0.305,0.148,0.596,0.025,0.861,0.599,0.841,0.552,0.51,0.803,0.381,0.978,0.511,0.786,4.261,0.779,0.502,4.902,2.472,1.897,2.475,2.952,10.091,19.674,0.812,3.402,2.941,18.721,14.595,7.981,4.247,1.356,2.814
"ENSG00000035681",5.025,8.125,7.399,11.226,6.252,6.57,7.037,8.097,8.993,5.476,33.131,5.978,6.726,11.712,11.443,2.325,6.058,4.765,9.207,9.145,8.89,13.602,5.692,9.389,8.208,10.495,14.582,7.178,6.678,8.318,7.217,21.582,16.212
"ENSG00000035687",35.107,51.791,15.929,18.801,30.616,22.113,39.497,17.3,36.571,31.638,34.404,6.415,7.012,21.346,24.685,14.351,9.87,18.144,17.652,29.502,27.388,30.365,6.814,19.468,22.454,11.143,9.875,4.948,8.349,19.524,23.122,34.955,22.223
"ENSG00000035720",0,0,0,0,0,0.029,0,0.283,0.019,0,7.518,0.035,0,0,0,0.351,0.017,0.412,0.077,0.318,0.356,1.507,0.013,0.765,0.096,0.413,0.036,0,0.031,7.268,0.732,10.815,41.874
"ENSG00000035862",23.636,15.463,28.21,213.728,27.814,30.212,24.489,35.546,16.168,34.779,22.753,141.517,111.757,6.452,174.654,36.992,91.995,58.665,109.302,36.724,29.588,28.349,25.959,36.499,383.701,22.948,5.628,57.318,29.965,31.697,54.369,17.933,32
"ENSG00000035928",34.29,34.559,23.231,13.779,30.577,20.943,24.495,18.168,26.215,17.427,19.6,15.147,13.86,16.519,10.48,15.296,9.126,26.063,7.933,16.265,17.178,10.182,8.395,10.168,16.3,11.073,8.906,7.379,6.018,9.343,11.06,13.239,10.256
"ENSG00000036054",5.855,8.758,9.454,15.274,8.21,9.825,11.785,18.148,14.386,5.749,13.805,7.407,9.133,15.916,16.735,11.04,7.557,7.623,10.533,16.092,16.317,14.705,19.295,11.951,14.103,9.219,16.394,8.798,14.087,9.746,11.566,19.787,12.592
"ENSG00000036257",12.834,17.523,12.483,10.81,18.715,14.741,17.735,16.551,18.786,11.311,13.079,10.205,10.755,11.324,8.4,10.487,12.273,7.789,13.323,10.175,10.794,9.204,12.025,7.853,10.764,5.224,32.337,9.727,11.411,9.169,8.94,15.703,9.883
"ENSG00000036448",0.07,0.125,0.077,0.051,0.244,0.348,0.535,0.338,0.263,0.11,0.993,0.319,0.63,0.108,0.176,1.95,0.808,3.647,0.731,1.087,0.997,1.05,118.88,0.723,0.494,1.138,82.558,192.116,84.69,0.65,0.716,1.805,3.375
"ENSG00000036473",0,0,0.001,0.001,0.003,0,0.005,0,0,0,0.013,0.018,0,0.016,40.187,165.238,0.033,1.007,0.152,48.059,43.315,0,0.071,1.125,0.517,1.111,0.202,0.137,0.188,1.217,72.835,0.115,0.061
"ENSG00000036530",0.274,0.085,0.165,0.012,0.687,0.99,0.712,0.31,0.212,1.033,0.009,0.234,0.664,0.014,0,0.277,2.298,16.814,0.178,0.329,0.213,0.131,0.548,0.32,0.468,2.682,0.086,1.76,0.56,0.107,0.187,0.206,0.055
"ENSG00000036549",9.232,12.334,6.867,9.344,12.139,10.766,13.028,9.363,11.955,9.228,16.012,6.306,8.772,9.537,7.096,4.907,5.662,6.874,5.489,12.506,13.325,6.45,4.519,5.882,8.527,5.686,7.439,4.314,4.263,4.865,6.32,9.089,7.165
"ENSG00000036565",0.003,0.001,0.004,0,0.001,0.087,0.019,0.858,0.016,0,0.018,0.021,0.118,0,0.029,0.206,0.011,0.059,0.077,5.677,8.923,0.405,0,0.022,0,0.013,0.002,0.006,0,0.522,0.575,0.187,0.229
"ENSG00000036672",2.533,3.768,1.561,0.317,2.611,3.615,2.575,0.752,1.901,3.682,0.615,3.811,3.731,0.546,1.222,4.875,1.708,8.128,3.414,1.627,1.315,2.471,32.664,1.409,0.738,6.469,26.937,33.972,32.627,7.019,3.255,0.829,0.442
"ENSG00000036828",0.142,0.015,0.006,0,0.001,0.004,0.005,0.005,0.026,0.228,0,0,0.014,0.002,0,0.189,0.01,0,0.082,1.076,1.034,0.252,0,0.019,0.763,12.965,0,0,0,0.031,0.129,0.425,0.216
"ENSG00000037042",12.192,8.301,10.868,16.868,19.068,17.237,17.991,19.364,12.338,19.475,6.169,22.682,22.689,22.453,30.148,5.86,52.111,85.942,21.699,9.347,9.401,29.919,12.593,12.771,20.639,152.07,5.988,19.526,18.771,6.64,8.242,11.589,14.894
"ENSG00000037280",3.566,0.91,0.234,0.003,2.237,1.187,1.564,6.976,1.454,4.026,0.011,0.146,0.133,0.004,0.178,3.563,0.593,1.489,3.376,3.808,2.14,0.789,2.979,10.271,8.122,6.335,0.947,2.83,4.112,3.145,9.902,1.955,11.145
"ENSG00000037474",26.64,52.72,16.715,11.851,12.207,19.891,20.769,13.887,32.138,21.466,19.707,10.246,11.655,32.377,8.441,18.234,6.127,11.1,13.003,21.784,19.439,16.642,15.524,16.414,15.271,15.12,28.285,10.277,14.694,21.378,21.572,26.795,23.053
"ENSG00000037637",4.352,5.54,4.879,5.073,6.466,5.858,5.955,4.261,5.474,6.844,7.63,8.716,9.824,6.292,7.833,2.744,12.256,5.377,7.898,4.732,4.319,4.601,6.402,4.041,7.363,7.648,9.858,6.146,5.936,4.672,5.221,8.143,5.76
"ENSG00000037749",11.615,7.431,9.178,10.367,8.677,11.277,14.443,10.18,9.438,10.02,5.835,8.646,10.849,9.945,3.113,5.319,5.078,5.106,5.684,9.095,9.277,3.748,12.913,3.703,7.432,2.057,16.111,7.013,9.123,6.033,7.484,6.616,4.897
"ENSG00000037757",13.572,12.06,13.97,15.82,11.738,11.404,9.624,13.893,7.284,7.616,23.692,10.459,9.916,10.679,4.649,10.662,18.31,23.888,15.327,17.105,16.322,7.725,7.982,18.953,21.905,19.928,6.2,7.732,10.327,12.84,11.584,27.76,20.391
"ENSG00000037897",7.117,12.901,2.408,3.443,3.234,4.059,4.835,2.929,12.289,8.262,6.183,5.57,4.946,8.153,3.582,5.032,1.628,3.996,6.197,4.971,4.563,10.894,7.161,12.597,4.017,23.595,9.586,2.815,10.238,5.899,7.249,5.17,8.446
"ENSG00000037965",0.01,0,0.05,45.582,0,0.424,0.192,2.491,0.871,0,0,0,0,3.818,0.714,0.016,0.008,0,0.095,0.454,1.616,0.038,0,0.062,2.329,0.09,4.404,0.017,0.007,0.028,0.021,0.186,0.079
"ENSG00000038002",5.861,3.811,3.977,11.143,3.757,4.667,5.979,2.815,3.773,5.445,10.991,3.29,3.982,4.218,9.903,13.166,2.153,7.424,8.753,10.175,10.593,7.24,2.47,17.638,11.396,7.308,3.48,4.715,3.025,4.511,5.871,14.026,7.821
"ENSG00000038210",3.853,6.243,5.121,6.398,2.663,3.022,3.732,5.643,5.193,3.766,9.451,2.372,1.865,8.848,14.251,14.666,1.439,3.096,4.545,11.668,11.822,12.094,1.946,8.332,3.091,3.175,1.258,1.767,2.279,7.926,12.858,13.958,8.511
"ENSG00000038219",18.145,16.419,8.975,7.77,9.619,9.061,10.859,12.945,8.247,14.092,12.811,9.075,10.689,9.639,3.457,5.189,11.096,35.304,5.925,8.893,9.296,4.154,5.585,6.228,9.188,5.465,5.325,6.684,5.112,7.031,5.314,6.771,7.952
"ENSG00000038274",13.717,13.321,7.03,12.933,19.791,23.875,16.105,15.175,19.461,13.014,26.329,7.323,7.448,16.428,35.416,26.526,15.373,11.825,15.163,28.378,30.488,29.314,17.024,15.65,38.045,6.128,23.829,29.265,14.885,26.198,30.91,53.52,44.44
"ENSG00000038295",0.236,0.078,0.056,0.003,0.033,0.18,0.111,0.488,0.183,0.147,0,0,0.003,1.083,0.152,0.064,0.053,0.322,1.063,1.592,0.844,0.215,1.684,1.032,0.555,1.173,0.199,0.546,1.095,0.707,2.706,0.539,0.084
"ENSG00000038358",19.566,24.209,19.482,15.733,18.301,24.069,28.261,21.918,25.688,23.271,23.679,43.902,41.479,18.895,8.247,10.796,39.649,16.802,22.483,22.163,23.81,15.634,17.04,24.173,30.629,50.722,19.221,13.636,20.84,29.008,22.126,29.401,35.879
"ENSG00000038382",4.588,10.435,14.677,12.975,6.545,10.958,11.373,12.172,8.567,11.618,9.694,36.585,43.683,13.421,5.127,1.753,22.778,7.157,7.968,11.502,10.257,6.301,14.17,10.96,15.152,12.179,5.377,6.484,8.802,14.144,8.148,7.289,11.447
"ENSG00000038427",135.507,60.224,2.486,43.156,17.208,58.595,34.259,70.608,83.309,101.618,2.514,29.97,31.886,1.608,15.636,0.77,40.238,10.567,4.396,28.309,24.18,2.957,6.425,6.809,2.449,0.546,1.017,9.923,10.394,2.087,1.433,4.195,1.438
"ENSG00000038532",2.391,5.365,3.925,3.103,2.819,4.191,4.447,4.728,2.94,3.752,5.819,9.578,8.978,7.195,2.87,1.415,7.886,4.672,5.524,3.473,3.352,5.059,10.059,6.982,3.194,8.577,9.639,6.901,5.991,8.684,6.406,7.393,7.617
"ENSG00000038945",0.012,0.011,0.024,0.011,0.005,0.108,0.004,0.015,0.032,0,0.025,0.002,0,0,37.537,8.48,0.072,0.769,2.003,5.797,8.023,3.95,1.443,24.017,1.361,0.737,0.209,0.893,1.766,2.018,3.303,6.73,2.458
"ENSG00000039068",202.512,95.112,158.669,0.004,0.058,4.077,0.654,1.656,44.461,191.608,2.676,0.791,0.419,241.014,10.466,35.561,1.081,1.943,56.398,195.195,214.709,78.418,0.016,51.628,1.153,62.668,0.073,0.071,0.014,112.917,112.979,58.992,6.471
"ENSG00000039123",22.609,32.857,16.216,11.758,23.284,22.792,26.735,19.318,32.419,20.275,25.491,10.345,11.858,17.741,12.749,10.046,12.431,10.72,13.008,23.157,22.843,13.746,15.676,12.05,15.289,10.214,18.266,13.76,14.405,11.055,16.006,16.016,13.729
"ENSG00000039139",0.085,0.148,0.115,1.177,0.262,0.117,0.246,0.081,0.12,0.097,0.096,0.081,0.153,0.173,0,0.128,0.116,0.576,0.108,0.279,0.268,0.96,0.01,3.373,0.014,1.373,0.005,0.017,0.009,0.031,0.013,0.164,0.062
"ENSG00000039319",4.603,3.139,8.013,5.972,11.395,10.204,12.374,15.406,5.963,5.082,7.325,6.564,8.634,5.989,4.328,4.666,6.442,9.098,5.652,10.748,10.689,4.128,5.206,8.672,8.442,4.282,2.365,8.376,7.594,3.644,3.581,9.339,5.942
"ENSG00000039523",6.733,4.129,26.063,44.666,20.299,16.331,9.936,34.214,4.904,3.575,19.162,26.464,23.096,37.396,16.636,10.666,77.928,30.111,24.551,8.055,4.886,24.885,30.394,38.117,31.034,40.711,13.797,35.422,33.724,13.938,15.162,16.252,67.1
"ENSG00000039537",0,0.001,0.006,0.011,0,0,0.002,0.006,0.026,0,0,0,0.011,0,0.061,431.99,0.042,2.205,0.449,19.222,60.277,0.653,3.429,2.327,5.282,38.603,0.09,57.93,6.417,0.259,0.457,0.622,0.068
"ENSG00000039560",67.207,55.952,86.343,45.75,29.614,28.135,20.56,32.016,32.81,30.337,0.351,10.153,9.844,16.808,38.458,6.291,10.639,6.157,5.914,6.019,6.891,17.847,4.332,13.314,5.473,4.82,0.466,3.071,4.125,3.702,5.161,4.055,21.904
"ENSG00000039600",0.159,0.254,0.039,0.004,0.181,0.105,0.057,0.168,0.152,0.216,0.159,0.042,0.015,0.005,0,0,0.033,0.017,0.123,0.781,0.845,0.019,0.083,0.05,0.118,0.053,0.03,0.322,0.03,0.14,0.197,0.177,0.175
"ENSG00000039650",28.598,20.663,17.755,19.587,26.21,26.753,26.15,19.522,30.071,40.188,27.782,23.123,21.48,29.119,17.647,13.133,13.95,14.916,30.122,19.082,19.868,58.209,22.992,50.169,27.933,115.928,12.13,27.479,33.035,41.465,31.165,48.83,85.752
"ENSG00000039987",4.043,0.246,0.022,0.01,0.017,0.151,0.152,0,0.494,2.399,0.02,0.035,0.019,0.008,2.357,0,0.06,0.066,0.042,0.081,0.089,0,0.006,0.03,0.004,0.118,0.033,0,0.012,32.608,0.082,0.343,0.004
"ENSG00000040199",3.082,3.432,1.899,2.025,3.423,4.107,5.22,2.056,3.42,4.975,3.595,5.68,5.998,2.743,2.738,1.139,2.398,4.306,1.325,10.941,17.924,1.39,0.89,1.139,2.977,1.493,1.689,1.444,0.751,6.816,2.808,1.417,1.399
"ENSG00000040275",16.785,25.133,12.926,8.646,18.551,19.353,17.069,20.381,19.695,13.976,5.421,5.411,6.52,11.161,3.493,0.736,5.529,6.038,2.619,4.729,4.838,3.052,2.315,2.583,3.573,1.436,2.239,1.424,2.271,3.859,6.267,4.941,3.189
"ENSG00000040341",11.028,13.76,6.562,7.054,15.565,15.867,13.015,12.635,14.715,11.43,10.144,8.164,9.109,4.956,9.662,4.62,12.66,9.846,5.491,7.041,8.298,7.139,10.787,4.161,4.492,2.661,18.73,13.662,10.086,3.918,3.999,7.222,4.553
"ENSG00000040487",7.697,5.146,10.172,11.293,6.622,9.263,7.973,9.595,8.118,9.571,4.485,18.184,14.892,8.715,3.331,7.972,8.371,9.968,6.94,8.908,8.928,11.213,9.493,15.617,6.866,25.438,12.945,5.896,12.212,8.784,9.47,7.262,15.097
"ENSG00000040531",11.466,9.111,6.389,14.73,6.594,8.264,9.699,5.705,9.668,12.189,7.579,19.319,14.235,8.01,3.517,8.024,5.795,8.124,6.207,11.906,11.011,8.451,5.96,8.68,8.628,20.567,16.454,5.273,6.708,6.734,6.68,7.45,8.981
"ENSG00000040608",13.806,8.689,4.588,0.396,11.697,11.424,9.473,1.975,8.925,19.953,1.809,22.802,20.219,8.184,0.809,0.682,24.537,2.938,0.91,2.634,9.231,1.78,0.806,3.45,0.883,1.39,0.066,0.553,0.785,1.906,2.348,0.798,3.811
"ENSG00000040633",34.324,41.148,50.765,53.337,41.606,41.156,50.343,31.803,48.059,38.088,13.135,31.179,31.645,25.136,23.735,26.549,17.355,17.456,24.858,22.627,21.919,30.752,19.25,26.622,20.397,16.229,28.149,16.694,21.043,31.83,22.025,39.173,44.2
"ENSG00000040731",0.021,0.258,41.542,4.857,5.307,2.575,0.925,5.171,2.085,0.136,0.081,12.297,15.214,0.111,0,0.001,6.299,7.842,0.015,0.256,0.118,0,0,0.077,0.006,0.447,0.014,0.6,0,0.102,0.591,0.029,0
"ENSG00000040933",4.429,5.981,6.119,3.615,7.544,11.398,8.897,7.063,8.636,8.082,10.116,10.425,9.073,4.748,2.433,2.083,8.019,6.036,5.157,5.023,3.213,3.298,4.142,5.521,5.109,3.984,2.268,3.535,3.629,4.935,3.26,12.319,7.086
"ENSG00000041353",0.269,0.09,0.612,112.799,0.669,0.292,0.459,1.869,0.24,0.15,30.509,0.192,0.219,2.779,1.858,1.068,0.18,2.221,5.445,6.024,5.114,15.027,0.023,7.806,0.11,1.237,0.022,0.009,0.023,2.824,2.325,2.06,0.673
"ENSG00000041357",103.273,120.709,72.32,80.774,119.973,52.986,49.259,38.836,63.518,45.057,47.028,20.265,22.462,33.204,46.942,43.961,24.877,38.767,27.926,32.583,30.023,55.595,32.823,49.572,22.616,24.847,68.185,27.972,39.367,43.018,58.348,64.01,52.833
"ENSG00000041515",0.013,0.033,0.014,0.01,0.5,1.048,0.39,0.298,0.175,0.022,1.412,6.449,5.049,0.019,0.057,1.142,1.689,1.452,0.055,0.147,0.111,0.029,2.809,0.132,0.135,0.184,0.018,0.911,4.262,0.221,0.023,0.159,0.047
"ENSG00000041802",17.365,23.39,9.017,9.024,8.845,11.806,15.996,7.412,21.575,20.177,18.449,11.986,11.582,15.985,7.178,10.407,7.134,19.159,10.343,18.41,17.746,8.051,13.889,14.532,16.36,11.182,26.551,8.133,12.969,11.805,14.332,14.042,12.447
"ENSG00000041880",0.596,0.66,0.627,3.378,0.874,1.087,0.886,2.516,0.973,0.647,11.278,3.963,4.233,3.037,8.416,11.586,3.116,9.092,9.368,7.041,4.633,9.839,4.226,11.202,7.495,7.825,5.966,7.529,6.985,13.527,21.056,8.134,12.921
"ENSG00000041982",12.325,11.988,67.29,18.303,5.905,27.959,12.697,48.75,14.069,2.871,0.076,1251.83,607.06,22.433,9.378,4.565,60.997,0.975,13.63,8.603,8.871,7.349,5.559,4.438,1.031,2.004,0.519,1.919,7.053,21.607,3.907,9.295,7.483
"ENSG00000041988",2.347,1.896,3.992,3.337,7.329,5.089,4.884,4.801,3.384,2.351,8.773,5.592,5.797,2.023,8.353,3.015,8.588,6.28,7.007,10.16,9.827,8.824,5.983,8.732,10.784,14.664,9.032,6.508,8.31,5.3,5.815,7.072,10.731
"ENSG00000042062",1.419,0.057,0.052,24.356,1.446,0.211,0.731,3.816,0.531,1.253,12.911,0.115,0.241,0.007,0.31,4.1,2.605,2.386,4.453,2.85,1.571,6.408,4.904,4.742,6.349,8.218,2.476,7.648,10.758,4.24,6.635,13.49,9.403
"ENSG00000042088",10.958,13.833,7.463,2.557,15.241,12.615,13.589,7.932,13.133,12.309,7.14,5.119,5.258,8.183,1.862,2.191,5.609,1.772,2.038,4.588,5.002,3.178,1.382,1.282,2.75,1.742,2.286,0.611,1.337,3.977,3.946,7.032,5.605
"ENSG00000042286",0.974,1.862,0.637,5.511,0.622,0.676,0.669,0.323,1.668,1.731,0.664,4.327,2.269,1.891,10.112,5.67,0.93,5.043,10.314,1.798,1.569,10.815,17.081,9.687,5.039,4.813,15.123,7.795,19.215,15.679,9.618,5.024,5.016
"ENSG00000042304",0,0,0.002,0,0.007,0,0,0.014,0,0,0,0,0,0,0,0,0.097,0.222,0,0.003,0,0.021,0,0,0,0,0,0,0,0.006,0,0.037,0
"ENSG00000042317",1.549,0.989,1.441,2.866,8.056,3.419,4.596,3.401,1.804,1.251,4.762,1.193,2.201,1.031,1.652,1.278,4.305,3.159,1.075,3.423,3.039,2.046,0.944,2.394,4.685,2.707,1.394,1.508,1.187,0.893,1.14,2.399,1.367
"ENSG00000042429",3.118,5.095,4.133,3.233,4.263,6.701,6.423,4.914,5.61,4.348,9.325,3.999,4.548,4.804,3.101,1.693,4.794,2.506,3.111,5.263,5.3,2.904,3.489,3.02,7.422,2.978,2.388,4.015,3.727,2.947,3.386,6.623,4.55
"ENSG00000042445",12.104,4.027,9.825,17.882,4.828,6.646,5.177,7.506,3.63,5.082,11.882,16.316,16.031,14.195,19.193,102.549,5.565,19.535,30.654,24.207,30.31,19.37,16.909,19.908,12.864,21.86,21.713,22.361,20.399,66.776,67.183,8.345,7.555
"ENSG00000042493",14.514,15.34,27.183,12.859,6.24,7.542,3.145,12.502,10.277,14.729,23.211,4.436,0.84,50.221,32.746,2.04,5.581,17.655,43.067,7.737,8.288,49.984,2.622,96.923,3.34,10.83,1.791,2.811,4.252,34.46,10.591,28.501,51.824
"ENSG00000042753",108.321,96.053,121.791,175.968,80.506,89.111,105.312,182.275,167.876,87.39,36.053,71.565,56.4,152.2,125.014,220.49,82.471,136.906,71.04,44.739,50.566,150.859,99.177,110.193,51.489,55.133,67.905,76.039,146.207,115.505,129.92,70.317,124.524
"ENSG00000042781",0.043,0.049,0.012,0.002,0.05,0.027,0.046,0.056,0.041,0.015,0.005,0.016,0.009,0.003,0.119,2.28,0.013,0.028,0.002,0.046,0.054,0.013,0.116,0,0.008,0.012,0,0.261,0.085,0.004,0.004,0.045,0.003
